timestamp,direction,duration_s
20250517_122952,vertical,0.237
20250517_122954,horizontal,2.637
20250517_123021,vertical,27.012
20250517_123134,vertical,3.829
20250517_123138,horizontal,4.64
20250517_123155,vertical,17.228
20250517_124842,vertical,3.452
20250517_124850,horizontal,8.241
20250517_125105,vertical,134.932
20250517_125109,horizontal,3.439
20250517_125112,vertical,3.304
20250517_125115,horizontal,3.374
20250517_125148,vertical,32.772
20250517_125201,horizontal,12.891
20250517_125402,vertical,11.017
20250517_125745,vertical,3.203
20250517_125802,horizontal,16.55
20250517_125927,vertical,85.548
20250517_130145,vertical,3.09
20250517_130152,horizontal,6.989
20250517_130233,vertical,40.573
20250517_130236,horizontal,3.379
20250517_130239,vertical,3.158
20250517_130243,horizontal,3.474
20250517_130325,vertical,42.056
20250517_130513,vertical,39.112
20250517_131022,vertical,3.271
20250517_131029,horizontal,6.853
20250517_131032,vertical,2.649
20250517_131056,horizontal,24.811
20250517_131100,vertical,3.213
20250517_131103,horizontal,3.242
20250517_131106,vertical,3.292
20250517_131109,horizontal,3.31
20250517_131113,vertical,3.246
20250517_131116,horizontal,3.003
20250517_131119,vertical,3.263
20250517_131122,horizontal,3.071
20250517_131125,vertical,3.325
20250517_131128,horizontal,3.003
20250517_131131,vertical,3.071
20250517_131135,horizontal,3.264
20250517_131148,vertical,13.151
